# ClassName	Offset	Value	Hex	Type	SourceFile	Context
GNUni	0x58	1200	0x4628c00044960000	hex_float	01778610.c	long *)(unaff_RDI + 0x50) == 0) {       *(undefined8 *)(unaff_RDI + 0x58) = 0x4628c00044960000;     }     else {
GNValue	0x118	1	0x3f800000	hex_float	01660e50.c	= lVar2;     }     FUN_0164cea0();     *(undefined4 *)(unaff_RDI + 0x118) = 0x3f800000;     FUN_016670f0();
GNView	0x1c	0.333	0x3eaa7efa	hex_float	01aec450.c	+ 0x1c)) || NAN(DAT_0241bdc0))) {       *(undefined4 *)(lVar7 + 0x1c) = 0x3eaa7efa;       *(undefined1
GNView	0x3f	0.94999999	0x3f733333	hex_float	01b21660.c	(fVar5) && !NAN(DAT_02390124))) {       *(undefined4 *)(unaff_RDI + 0x3f) = 0x3f733333;       fVar5 = DAT_0
MDActivityDiagramView	0x13c	8	0x41000000	hex_float	00551ad0.c	+ 0x13c)) || NAN(DAT_023b36b0))) {     *(undefined4 *)((longlong)plVar1 + 0x13c) = 0x41000000;     (**(code **)(*p
MDActivityDiagramView	0x13c	2	0x40000000	hex_float	00551ad0.c	+ 0x13c)) || NAN(DAT_02390d34))) {     *(undefined4 *)((longlong)plVar1 + 0x13c) = 0x40000000;     (**(code **)(*p
MDActivityDiagramView	0x13c	1.2	0x3f99999a	hex_float	00551ad0.c	+ 0x13c)) || NAN(DAT_02394dc0))) {     *(undefined4 *)((longlong)plVar1 + 0x13c) = 0x3f99999a;     (**(code **)(*p
MDAnalyserTestView	0x15c	50	0x3c23d70a42480000	hex_float	00069350.c	ff_RDI + 0x178) = 0x3ff0000000000000;   *(undefined8 *)(unaff_RDI + 0x15c) = 0x3c23d70a42480000;   *(undefined8 *)(u
MDExportAudioController	0xe8	1	0x3f800000	hex_float	007fbb40.c	) = *(int *)(unaff_RDI + 0xd8) + 1;     *(undefined4 *)(unaff_RDI + 0xe8) = 0x3f800000;     puVar2 = (undef
MDMetaWindowController	0x15c	180	0x43340000	hex_float	0013e510.c	MM1_Dc;   auVar3._12_4_ = in_XMM1_Dd;   *(undefined4 *)((longlong)unaff_RDI + 0x15c) = 0x43340000;   auVar3 = blendps(
MDMetaWindowController	0x19	-1	0xbf800000	hex_float	003a85d0.c	FUN_00657180(param_1);         *(undefined4 *)(unaff_RDI + 0x19) = 0xbf800000;         FUN_00d50b2
MDMetaWindowController	0x1ec	400	0x43c80000	hex_float	006097d0.c	lVar2 != 0) {     FUN_00d50b20();   }   *(undefined4 *)((longlong)unaff_RDI + 0x1ec) = 0x43c80000;   *(undefined2 *)(u
MDMetaWindowController	0x2c	1	0x3f800000	hex_float	001474b0.c	FUN_015b4d80();                   *(undefined4 *)(lVar50 + 0x2c) = 0x3f800000;                   *
MDMetaWindowController	0x2c	1	0x3f800000	hex_float	001474b0.c	Var96 <= fVar102) {                     *(undefined4 *)(lVar50 + 0x2c) = 0x3f800000;
MDMetaWindowController	0x60	24	0x41c00000	hex_float	002dc360.c	efined4 *)(unaff_RDI + 0x5c) = uVar5;   *(undefined4 *)(unaff_RDI + 0x60) = 0x41c00000;   puVar6 = (undefin
MDMetaWindowController	0xe8	1	0x3f800000	hex_float	007fafb0.c	(undefined1 *)(unaff_RDI + 0xd2) = 1;   *(undefined4 *)(unaff_RDI + 0xe8) = 0x3f800000;   *(undefined4 *)(u
MDPluginDocument	0x290	1	0x3f800000	hex_float	00516170.c	Var7 != 0)) {     FUN_00d50b20();   }   *(undefined4 *)(unaff_RDI + 0x290) = 0x3f800000;   FUN_00d50b00();
MUAudioSourcePrincipalItem	0x10	0.5	0x3f000000	hex_float	0137e3a0.c	0x14) = (float)local_58;               *(undefined4 *)(lVar15 + 0x10) = 0x3f000000;               FUN_0
MUAudioSourcePrincipalItem	0x184	0.60000002	0x3f19999a	hex_float	01b8b2b0.c	00d50b20();         }       }     }     *(undefined4 *)((longlong)unaff_RDI + 0x184) = 0x3f19999a;     if (unaff_RDI[0
MUAudioSourcePrincipalItem	0x28	0.1	0x3dcccccd	hex_float	01356870.c	*)(local_50 + 0x10) >> 0x20;           *(undefined4 *)(local_50 + 0x28) = 0x3dcccccd;           pvVar15 =
MUDetectionEditorView	0x5c8	-0.25	0xbe800000	hex_float	019303c0.c	undefined1 *)(unaff_RDI + 0x5c4) = 0;   *(undefined8 *)(unaff_RDI + 0x5c8) = 0xbe800000;   *(undefined8 *)(u
MUElementAnalyzer	0x10c	0.1	0x3dcccccd	hex_float	01484bc0.c	Var77 = DAT_02391090;                   *(undefined4 *)((longlong)unaff_RDI + 0x10c) = 0x3dcccccd;                   b
MUElementAnalyzer	0x114	0.001	0x3a83126f	hex_float	01484bc0.c	*)((longlong)unaff_RDI + 0x114)) {     *(undefined4 *)((longlong)unaff_RDI + 0x114) = 0x3a83126f;   }   (**(code **)(
MUElementAnalyzer	0x1d	439.99927	0x43dbffe8	hex_float	01484bc0.c	al_144 == 2.8026e-45) {                 *(undefined4 *)(unaff_RDI + 0x1d) = 0x43dbffe8;                 iVa
MUElementAnalyzer	0x38	-1	0xbf800000	hex_float	014b3ce0.c	ar7 = false;   }   lVar19 = *param_3;   *(undefined4 *)(lVar19 + 0x38) = 0xbf800000;   bVar3 = true;   l
MULSSComponentRenderer	0xc	1	0x3f800000	hex_float	012a8c90.c	if (cVar34 != '\0') {               *(undefined4 *)((longlong)ppppppfVar81 + 0xc) = 0x3f800000;             }
MULSSComponentRenderer	0xc	1	0x3f800000	hex_float	012a8c90.c	== (float *******)0x0) {               *(undefined4 *)((longlong)ppppppfVar81 + 0xc) = 0x3f800000;               fVar3
MUMultiTrackItem	0x204	200	0x43480000	hex_float	01be82b0.c	long *unaff_RDI;      FUN_01e3b710();   *(undefined4 *)((longlong)unaff_RDI + 0x204) = 0x43480000;   *(undefined1 *)((
MUPercussivePitchSystem	0x70	1200	0x4628c00044960000	hex_float	013231f0.c	4 *)(unaff_RDI + 0x180) = 0xffffffff;   *(undefined8 *)(unaff_RDI + 0x70) = 0x4628c00044960000;   puVar5 = (undefin
