00f0e3d1	_ZSTD_ldm_getTableSize
00f0e405	_ZSTD_ldm_getMaxNbSeq
00f0e424	_ZSTD_ldm_fillHashTable
00f0e6c5	_ZSTD_ldm_generateSequences
00f0f287	_ZSTD_ldm_skipSequences
00f0f30e	_ZSTD_ldm_skipRawSeqStoreBytes
00f0f366	_ZSTD_ldm_blockCompress
00f0f72c	_ZSTD_XXH_versionNumber
00f0f737	_ZSTD_XXH32
00f0f7f1	_ZSTD_XXH32_createState
00f0f800	_ZSTD_XXH32_freeState
00f0f80d	_ZSTD_XXH32_copyState
00f0f829	_ZSTD_XXH32_reset
00f0f85d	_ZSTD_XXH32_update
00f0f9f5	_ZSTD_XXH32_digest
00f0fad7	_ZSTD_XXH32_canonicalFromHash
00f0fae1	_ZSTD_XXH32_hashFromCanonical
00f0faeb	_ZSTD_XXH64
00f0fc51	_ZSTD_XXH64_createState
00f0fc60	_ZSTD_XXH64_freeState
00f0fc6d	_ZSTD_XXH64_copyState
00f0fca1	_ZSTD_XXH64_reset
00f0fcf3	_ZSTD_XXH64_update
00f0fea7	_ZSTD_XXH64_digest
00f10070	_ZSTD_XXH64_canonicalFromHash
00f1007c	_ZSTD_XXH64_hashFromCanonical
00f10088	_ZSTD_fillDoubleHashTable
00f10350	_ZSTD_compressBlock_doubleFast
00f1351f	_ZSTD_compressBlock_doubleFast_dictMatchState
00f190c7	_ZSTD_compressBlock_doubleFast_extDict
00f1a6a4	_ZSTD_fillHashTable
00f1a988	_ZSTD_compressBlock_fast
00f1e869	_ZSTD_compressBlock_fast_dictMatchState
00f22aa5	_ZSTD_compressBlock_fast_extDict
00f23a20	_HUF_writeCTable_wksp
00f2406d	_HUF_readCTable
00f24257	_HUF_getNbBitsFromCTable
00f24264	_HUF_buildCTable_wksp
00f249b2	_HUF_estimateCompressedSize
00f249e6	_HUF_validateCTable
00f24a27	_HUF_compressBound
00f24a3d	_HUF_compress1X_usingCTable
00f258fc	_HUF_compress4X_usingCTable
00f25a72	_HUF_cardinality
00f25a93	_HUF_minTableLog
00f25aa2	_HUF_optimalTableLog
00f25c2f	_HUF_compress1X_repeat
00f26086	_HUF_compress4X_repeat
00f27109	_ZSTD_versionNumber
00f27114	_ZSTD_versionString
00f27121	_ZSTD_isError
00f27130	_ZSTD_getErrorName
00f27149	_ZSTD_getErrorCode
00f2715c	_ZSTD_getErrorString
00f27168	_ZSTD_fseBitCost
00f27220	_ZSTD_crossEntropyCost
00f2726f	_ZSTD_selectEncodingType
00f274aa	_ZSTD_buildCTable
00f27628	_ZSTD_encodeSequences
00f28280	_ZSTD_getcBlockSize
